RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical,F12,F13,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
2111,221 E Balbo Dr,2,32,Loop,1,41.873166,-87.622054,1,41.873166,-87.622054,"(41.873166, -87.622054)",35,38,14913,368,10,48
3173,1801 N Lake Shore Dr,43,7,Lincoln Park,8,41.917361,-87.628277,1,41.917361,-87.628277,"(41.917361, -87.628277)",16,68,14926,271,34,51
6011,1713 S Ashland Ave,25,31,Lower West Side,2,41.858264,-87.666101,1,41.858264,-87.666101,"(41.858264, -87.666101)",43,33,14920,270,26,8
4435,12339 S Normal Ave,34,53,West Pullman,6,41.66988,-87.634246,1,41.66988,-87.634246,"(41.66988, -87.634246)",19,50,21861,7,22,45
5493,1814 W Irving Park Rd,47,5,North Center,1,41.95433,-87.674675,1,41.95433,-87.674675,"(41.95433, -87.674675)",53,46,21186,622,18,13
1215,2115 N Damen Ave,32,22,Logan Square,1,41.919804,-87.677508,0,41.919804,-87.677508,"(41.919804, -87.677508)",16,23,22535,209,40,16
6212,1468 N Milwaukee Ave,1,24,West Town,2,41.90847,-87.674753,1,41.90847,-87.674753,"(41.90847, -87.674753)",4,25,21560,481,41,24
2927,11101 S Hale Ave,19,75,Morgan Park,1,41.691507,-87.670808,1,41.691507,-87.670808,"(41.691507, -87.670808)",13,74,22212,378,42,33
3641,11541 S Peoria St,34,53,West Pullman,1,41.68359,-87.645068,1,41.68359,-87.645068,"(41.68359, -87.645068)",13,50,22212,642,22,45
4367,2035 N Mobile Ave,29,19,Belmont Cragin,3,41.916967,-87.782607,1,41.916967,-87.782607,"(41.916967, -87.782607)",2,19,22615,77,7,52
1417,1558 E 53rd St,4,41,Hyde Park,1,41.799704,-87.586817,1,41.799704,-87.586817,"(41.799704, -87.586817)",10,8,21192,405,33,1
3782,2154 W Roscoe St,32,5,North Center,2,41.943297,-87.682555,1,41.943297,-87.682555,"(41.943297, -87.682555)",39,46,21538,614,40,16
195,1518 W Granville Ave,40,77,Edgewater,3,41.994582,-87.668292,0,41.994582,-87.668292,"(41.994582, -87.668292)",14,76,4451,536,16,46
5166,1415 E 70th St,5,43,South Shore,2,41.767683,-87.590406,1,41.767683,-87.590406,"(41.767683, -87.590406)",60,39,22260,416,33,32
4183,1134 W 18th Pl,25,31,Lower West Side,1,41.857437,-87.653805,1,41.857437,-87.653805,"(41.857437, -87.653805)",43,33,14920,251,26,8
1210,1924 N Damen Ave,32,22,Logan Square,1,41.916744,-87.677776,0,41.916744,-87.677776,"(41.916744, -87.677776)",1,23,22535,178,40,16
1408,132 E 51st St,3,38,Grand Boulevard,1,41.80209,-87.622105,1,41.80209,-87.622105,"(41.80209, -87.622105)",10,4,21192,449,9,12
2323,2001 W Chicago Ave,32,24,West Town,2,41.895915,-87.677094,1,41.895915,-87.677094,"(41.895915, -87.677094)",4,25,21560,476,11,16
6029,2001 S Michigan Ave,2,33,Near South Side,1,41.855343,-87.623735,1,41.855343,-87.623735,"(41.855343, -87.623735)",40,34,21194,374,9,48
4943,1310 S Ashland Ave,2,28,Near West Side,3,41.864699,-87.666543,1,41.864699,-87.666543,"(41.864699, -87.666543)",43,29,14920,96,23,48
6572,1003 N Leavitt St,32,24,West Town,2,41.899628,-87.681865,0,41.899628,-87.681865,"(41.899628, -87.681865)",4,25,21560,476,11,16
6708,1669 N Milwaukee Ave,32,24,West Town,1,41.912059,-87.6799,0,41.912059,-87.6799,"(41.912059, -87.6799)",1,25,22535,179,11,16
5938,1433 W Chicago Ave,27,24,West Town,1,41.896005,-87.663715,1,41.896005,-87.663715,"(41.896005, -87.663715)",49,25,22620,485,46,41
3791,10714 S Sawyer Ave,19,74,Mount Greenwood,2,41.699355,-87.702469,1,41.699355,-87.702469,"(41.699355, -87.702469)",33,73,4447,316,42,33
4014,180 N Wacker Dr,42,32,Loop,1,41.885355,-87.637142,1,41.885355,-87.637142,"(41.885355, -87.637142)",46,38,14914,92,36,22
35,212 N Sangamon St,27,28,Near West Side,3,41.885821,-87.651154,0,41.885821,-87.651154,"(41.885821, -87.651154)",44,29,14917,63,46,41
1287,1501 E 57th St,5,41,Hyde Park,1,41.791467,-87.588852,1,41.791467,-87.588852,"(41.791467, -87.588852)",60,8,22260,502,33,32
