month,day,year,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,moonPhase,precipIntensity,precipIntensityMax,precipProbability,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed,precipIntensityMaxTime,precipAccumulation,daylight_duration,icon_clear-day,icon_cloudy,icon_fog,icon_partly-cloudy-day,icon_partly-cloudy-night,icon_rain,precipType_None,precipType_rain,precipType_snow
1.0,27.0,2017.0,21.26,7.0,17.19,2.0,25.63,0.0,17.21,17.0,0.97,21.09,0.77,0.99,0.0,0.0,0.0,1012.18,7.133333333333334,17.0,28.2,7.0,25.0,2.0,2.0,11.0,9.98,263.0,16.4,18.0,6.6,0.0,0.0,9.866666666666667,0,1,0,0,0,0,1,0,0
1.0,28.0,2017.0,23.06,14.0,21.34,20.0,23.06,14.0,17.19,2.0,0.98,21.76,0.79,0.02,0.0,0.0,0.0,1008.93,7.116666666666666,17.033333333333335,29.16,11.0,26.48,7.0,2.0,11.0,9.54,278.0,13.48,0.0,5.82,0.0,0.0,9.916666666666668,0,1,0,0,0,0,1,0,0
1.0,29.0,2017.0,22.15,11.0,15.1,7.0,22.88,2.0,16.81,22.0,0.98,17.38,0.69,0.06,0.0,0.0,0.0,1011.21,7.1,17.05,27.72,13.0,15.1,7.0,2.0,11.0,9.49,296.0,12.14,17.0,4.85,0.0,0.0,9.950000000000001,0,0,0,1,0,0,1,0,0
1.0,30.0,2017.0,24.83,19.0,26.19,20.0,31.95,23.0,15.1,7.0,0.53,14.9,0.65,0.09,0.0,0.0,0.0,1011.38,7.083333333333333,17.066666666666666,31.61,19.0,32.35,20.0,2.0,11.0,10.0,214.0,14.9,17.0,3.13,0.0,0.0,9.983333333333334,0,0,0,0,1,0,1,0,0
1.0,31.0,2017.0,34.41,15.0,29.21,5.0,34.41,15.0,30.3,22.0,0.9,31.56,0.78,0.13,0.0004,0.0045,0.49,1006.34,7.066666666666666,17.1,40.28,14.0,32.62,8.0,2.0,11.0,9.79,272.0,20.75,14.0,7.61,3.0,0.0,10.033333333333335,0,0,0,1,0,0,0,1,0
2.0,1.0,2017.0,32.64,12.0,6.0,6.0,32.64,12.0,16.3,23.0,0.68,23.84,0.69,0.16,0.0,0.0,0.0,1018.42,7.05,17.116666666666667,36.95,13.0,14.75,7.0,2.0,11.0,9.98,283.0,14.73,16.0,5.45,0.0,0.0,10.066666666666666,0,0,0,1,0,0,1,0,0
2.0,2.0,2017.0,15.7,14.0,6.36,6.0,15.7,14.0,6.0,6.0,0.13,7.12,0.59,0.2,0.0,0.0,0.0,1028.78,7.033333333333333,17.133333333333333,23.72,15.0,14.8,4.0,3.0,12.0,10.0,286.0,14.83,16.0,6.06,0.0,0.0,10.1,0,0,0,0,1,0,1,0,0
2.0,3.0,2017.0,23.92,19.0,13.12,8.0,23.92,19.0,6.36,6.0,0.21,5.46,0.53,0.24,0.0,0.0,0.0,1031.4,7.016666666666667,17.15,28.23,15.0,14.19,6.0,3.0,12.0,10.0,291.0,13.72,13.0,4.71,0.0,0.0,10.133333333333333,0,0,0,0,1,0,1,0,0
2.0,4.0,2017.0,25.79,17.0,24.13,8.0,27.54,23.0,13.12,8.0,0.52,10.2,0.54,0.27,0.0,0.0,0.0,1023.85,7.0,17.183333333333334,32.73,15.0,28.7,7.0,2.0,10.0,10.0,191.0,16.97,14.0,4.97,0.0,0.0,10.183333333333334,0,0,0,1,0,0,1,0,0
2.0,5.0,2017.0,37.41,16.0,26.4,2.0,37.41,16.0,24.13,8.0,0.19,21.61,0.64,0.31,0.0,0.0,0.0,1016.0,6.983333333333333,17.2,38.3,12.0,26.4,2.0,3.0,12.0,9.94,265.0,12.83,11.0,2.82,0.0,0.0,10.216666666666665,0,0,0,1,0,0,1,0,0
